OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
23496,2016,Multifamily LR (1-4),Low-Rise Multifamily,SS055 - 14355 32nd Ave NE,14355 32nd Ave NE,Seattle,WA,98125,7663700331,5,NORTH,47.7336,-122.29434,1967,1,2,"22,382",0,"22,382",Multifamily Housing,Multifamily Housing,"22,382",,,,,,67,30.29999924,32.20000076,95.30000305,101.1999969,"678,980.125","721,589.625",0,"198,997.7031","678,980",0,0,false,,Compliant,,4.73,0.21
23499,2016,Multifamily LR (1-4),Low-Rise Multifamily,SHERWOOD APTS BLDG A,3030 NE 143rd St,Seattle,WA,98125,7663700369,5,NORTH,47.73225,-122.29494,1977,1,3,"27,639",0,"27,639",Multifamily Housing,Multifamily Housing,"23,810",,,,,,73,28.20000076,30,88.5,94.09999847,"671,004.625","713,532.8125",0,"196,660.2031","671,005",0,0,false,,Compliant,,4.68,0.17
23501,2016,Multifamily LR (1-4),Low-Rise Multifamily,Jackson Park House & Village,14378 30th Ave NE,Seattle,WA,98125,7663700390,5,NORTH,47.73316,-122.29595,1970,1,2,"101,613",0,"101,613",Multifamily Housing,Multifamily Housing,"101,613",,,,,,99,22.70000076,24.5,61.20000076,66.69999695,"2,302,943","2,489,579.5",0,"532,973.5","1,818,506","4,844.370117","484,437",false,,Compliant,,38.41,0.38
23502,2016,Multifamily LR (1-4),Low-Rise Multifamily,Mirrorwood Apartment,14371 30th Ave NE,Seattle,WA,98125,7663700410,5,NORTH,47.73351,-122.29679,1986,1,3,"30,942",0,"30,942",Multifamily Housing,Multifamily Housing,"30,942",,,,,,60,29.10000038,30.89999962,91.40000153,96.90000153,"900,973","954,662.8125",0,"264,060","900,973",0,0,false,,Compliant,,6.28,0.2
23503,2016,NonResidential,Restaurant,Salty's Waterfront Seafood Grill,1936 Harbor Ave SW,Seattle,WA,98126,7666706590,1,SOUTHWEST,47.58654,-122.37644,1902,1,2,"20,398",0,"20,398","Office, Restaurant",Restaurant,"19,232",Office,"1,166",,,,,456.6000061,468.7000122,835.7999878,848,"9,313,513","9,560,583",0,"1,019,505.813","3,478,554","58,349.59375","5,834,959",false,,Compliant,,334.15,16.38
23504,2016,NonResidential,Distribution Center,3223,3223 6th Avenue South,Seattle,WA,98134,7674800055,2,GREATER DUWAMISH,47.5746,-122.32637,1952,1,1,"41,308",0,"41,308",Distribution Center,Distribution Center,"41,308",,,,,,7,39.79999924,43.40000153,95.09999847,98.90000153,"1,642,471.5","1,792,023.375",0,"309,134.5938","1,054,767","5,877.039551","587,704",false,,Compliant,,38.57,0.93
23508,2016,Multifamily LR (1-4),Low-Rise Multifamily,Seaview Condominium Homeowners Association,519 W Roy St.,Seattle,WA,98119,7677290000,7,MAGNOLIA / QUEEN ANNE,47.62586,-122.36388,1930,1,3,"36,751",0,"36,751",Multifamily Housing,Multifamily Housing,"36,751",,,,,,33,69.40000153,78.30000305,98.69999695,108.3000031,"2,552,098.5","2,878,751.5",0,"132,843.0938","453,261","20,988.37891","2,098,838",false,,Compliant,,114.63,3.12
23510,2016,Multifamily LR (1-4),Low-Rise Multifamily,Seaview Terrace,7019 47th Ave SW,Seattle,WA,98126,7680600000,1,SOUTHWEST,47.53979,-122.39409,1978,1,4,"39,888",0,"39,888",Multifamily Housing,Multifamily Housing,"39,888",,,,,,29,62.79999924,68.40000153,113.0999985,123,"2,504,814.5","2,730,100.25",0,"263,610.3125","899,438","16,053.75977","1,605,376",false,,Compliant,,91.53,2.29
23515,2016,Multifamily LR (1-4),Low-Rise Multifamily,Sedona Court Condominum,12034 15TH AVE NE,Seattle,WA,98125,7683940000,5,NORTH,47.71677,-122.31219,2000,1,3,"30,833",0,"30,833",Multifamily Housing,Multifamily Housing,"30,833",,,,,,64,23,24.10000038,72.19999695,75.80000305,"709,209.875","744,588.875",0,"207,857.5","709,210",0,0,false,,Compliant,,4.94,0.16
23516,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Selano Condominium,133 Queen Anne Ave. N.,Seattle,WA,98109,7690400000,7,MAGNOLIA / QUEEN ANNE,47.61963,-122.357,2001,1,6,"28,453",0,"28,453","Multifamily Housing, Parking",Multifamily Housing,"28,453",Parking,"15,000",,,,96,29,30,90.80000305,94,"825,716.8125","854,428.375",0,"240,897.2969","821,942",37.75,"3,775",false,,Compliant,,5.93,0.21
